iter	Passed	Remaining
718	1076	420
719	1078	419
720	1080	418
721	1081	416
722	1083	415
723	1084	413
724	1086	412
725	1087	410
726	1089	409
727	1091	407
728	1092	406
729	1094	404
730	1095	403
731	1097	401
732	1099	400
733	1100	398
734	1102	397
735	1104	396
736	1105	394
737	1107	393
738	1109	391
739	1110	390
740	1112	388
741	1113	387
742	1115	385
743	1116	384
744	1118	382
745	1120	381
746	1121	379
747	1123	378
748	1124	376
749	1126	375
750	1127	373
751	1129	372
752	1130	370
753	1132	369
754	1133	367
755	1135	366
756	1137	365
757	1138	363
758	1140	362
759	1141	360
760	1143	359
761	1145	357
762	1146	356
763	1148	354
764	1149	353
765	1150	351
766	1152	350
767	1154	348
768	1155	347
769	1157	345
770	1158	344
771	1160	342
772	1161	341
773	1163	339
774	1164	338
775	1166	336
776	1167	335
777	1169	333
778	1170	332
779	1172	330
780	1173	329
781	1175	327
782	1176	326
783	1178	324
784	1179	323
785	1181	321
786	1182	320
787	1184	318
788	1185	317
789	1187	315
790	1188	314
791	1190	312
792	1191	311
793	1193	309
794	1194	308
795	1196	306
796	1197	305
797	1199	303
798	1200	302
799	1202	300
800	1203	299
801	1205	297
802	1206	296
803	1208	294
804	1209	293
805	1211	291
806	1213	290
807	1214	288
808	1216	287
809	1217	285
810	1219	284
811	1220	282
812	1222	281
813	1223	279
814	1225	278
815	1226	276
816	1228	275
817	1229	273
818	1231	272
819	1232	270
820	1234	269
821	1235	267
822	1237	266
823	1238	264
824	1240	263
825	1241	261
826	1243	260
827	1244	258
828	1246	257
829	1248	255
830	1249	254
831	1251	252
832	1252	251
833	1254	249
834	1255	248
835	1256	246
836	1258	245
837	1259	243
838	1261	242
839	1262	240
840	1264	239
841	1265	237
842	1267	236
843	1268	234
844	1269	232
845	1271	231
846	1272	229
847	1274	228
848	1276	226
849	1277	225
850	1278	223
851	1280	222
852	1281	220
853	1282	219
854	1284	217
855	1285	216
856	1287	214
857	1288	213
858	1290	211
859	1291	210
860	1292	208
861	1294	207
862	1295	205
863	1297	204
864	1298	202
865	1299	201
866	1301	199
867	1302	198
868	1303	196
869	1305	195
870	1307	193
871	1308	192
872	1309	190
873	1311	189
874	1312	187
875	1313	185
876	1315	184
877	1316	182
878	1318	181
879	1319	179
880	1321	178
881	1322	176
882	1323	175
883	1325	173
884	1326	172
885	1328	170
886	1329	169
887	1331	167
888	1332	166
889	1334	164
890	1335	163
891	1337	161
892	1338	160
893	1339	158
894	1341	157
895	1342	155
896	1343	154
897	1345	152
898	1346	151
899	1348	149
900	1349	148
901	1351	146
902	1352	145
903	1354	143
904	1355	142
905	1356	140
906	1358	139
907	1359	137
908	1361	136
909	1362	134
910	1364	133
911	1365	131
912	1367	130
913	1368	128
914	1370	127
915	1371	125
916	1372	124
917	1374	122
918	1375	121
919	1376	119
920	1378	118
921	1379	116
922	1381	115
923	1382	113
924	1384	112
925	1385	110
926	1387	109
927	1388	107
928	1390	106
929	1391	104
930	1392	103
931	1394	101
932	1395	100
933	1397	98
934	1399	97
935	1401	95
936	1402	94
937	1404	92
938	1406	91
939	1408	89
940	1411	88
941	1412	86
942	1414	85
943	1415	83
944	1417	82
945	1418	80
946	1420	79
947	1421	77
948	1423	76
949	1424	74
950	1425	73
951	1427	71
952	1428	70
953	1430	68
954	1431	67
955	1432	65
956	1434	64
957	1435	62
958	1437	61
959	1438	59
960	1440	58
961	1441	56
962	1442	55
963	1444	53
964	1445	52
965	1447	50
966	1448	49
967	1449	47
968	1451	46
969	1452	44
970	1454	43
971	1455	41
972	1456	40
973	1458	38
974	1459	37
975	1461	35
976	1462	34
977	1464	32
978	1465	31
979	1467	29
980	1468	28
981	1469	26
982	1471	25
983	1472	23
984	1474	22
985	1475	20
986	1477	19
987	1478	17
988	1480	16
989	1481	14
990	1483	13
991	1484	11
992	1486	10
993	1487	8
994	1489	7
995	1490	5
996	1492	4
997	1493	2
998	1495	1
999	1496	0
